spp,hatchdat,sizename,sizeclass_cm,rep,trialdate,letter,Avel_fts,Svel_fts,Treatment,dielphase,tempC_tread,DO_tread,tempC_hold,DO_hold,temp_sump,lux,N_fish,accl_time,start,end,Video_File_Name,General_Notes,Pre-test_tank,Post-test_tank,timePt,N_impinged,Time_impinged,Code_impinged,Nprod,Nrest,Nflange,Orientation,Fish,Swimming_time,Notes,Data_Enterer,Trial_ID_cam2,Trial_ID_cam4,Reviewer,Date_Reviewed,Notes/Flags?,BORIS_Ethovision_analyses,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,A,0.2,0.8,0.2A_0.8S,Day,19.2,8.23,18.6,8,NA,7,24,08:58,09:30,10:00,2023June8_0900AM_A,not sure thermometer is working - treadmill tire noisy and need air,JC-02,MB-A1,t25,0,NA,NA,1,0,0,downstream,fish1,0:00:59,fish1 swam around doing loops the whole way,Alison,20230608-A-cam2,20230608-A-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,A,0.2,0.8,0.2A_0.8S,Day,19.2,8.23,18.6,8,NA,7,24,08:58,09:30,10:00,2023June8_0900AM_A,not sure thermometer is working - treadmill tire noisy and need air,JC-02,MB-A1,t25,0,NA,NA,2,0,0,downstream,fish2,0:01:03,NA,Alison,20230608-A-cam2,20230608-A-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,A,0.2,0.8,0.2A_0.8S,Day,19.2,8.23,18.6,8,NA,7,24,08:58,09:30,10:00,2023June8_0900AM_A,not sure thermometer is working - treadmill tire noisy and need air,JC-02,MB-A1,t25,0,NA,NA,3,0,0,downstream,fish3,0:00:30,NA,Alison,20230608-A-cam2,20230608-A-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t5,0,NA,NA,1,0,4,downstream,fish1,0:00:30,debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t5,0,NA,NA,2,0,4,downstream,fish2,0:00:22,debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t5,0,NA,NA,3,0,4,downstream,fish3,0:00:40,debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t10,0,NA,NA,1,0,3,downstream_upstream,fish1,0:00:20,1 big debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t10,0,NA,NA,2,0,3,downstream_upstream,fish2,0:00:25,1 big debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t10,0,NA,NA,3,0,3,downstream_upstream,fish3,0:00:21,1 big debris floating,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t15,0,NA,NA,1,0,2,upstream,fish1,0:00:17,NA,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t15,0,NA,NA,2,0,2,upstream,fish2,0:00:18,NA,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t15,0,NA,NA,3,0,2,upstream,fish3,0:00:19,NA,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t20,0,NA,NA,1,0,4,downstream,fish1,0:00:33,handful perpendicular,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
